Timestamp,Q1. Select your Age ,  Q2. Current education level  ,  Q3. Average daily screen time (in hours)  ,  Q4. Average daily social media usage (hours)  ,  Q5. Average daily gaming time (hours)  , Q6. Do you use your phone before sleeping?  ,Q7. How many times do you check your phone per day?  , Q8. Average sleep duration per night  ,Q9. I use my smartphone longer than intended  ,Q10. I feel restless or anxious when I cannot use my phone  ,  Q11. My smartphone use affects my sleep  ,Q12. I find it difficult to reduce my smartphone usage  ,Q13. I miss important academic tasks due to smartphone use  ,Q14. I use my phone during study time  ,Q15. My academic performance has been affected by smartphone use  ,Q16. I feel distracted in class due to smartphone use  ,Q17. Current academic percentage / GPA  ,Q18. Average study time per day (excluding school hours)  ,Q19. Attendance percentage  ,Q20. How often do you have difficulty concentrating on studies?  ,Q21. Have your academic grades decreased in the past year?  
3/2/2026 20:04:39,16,Grade 11,4–6 hours,1–3 hours,Less than 1 hour,Often,50–100,Less than 5 hours,4,3,3,4,5,5,5,3,60–70%,2–4 hours,Above 90%,3,Yes
3/2/2026 20:09:14,16,Grade 11,Less than 2 hours,Less than 1 hour,1–3 hours,Sometimes,20–50,7–8 hours,2,2,1,3,4,3,3,1,Above 90%,More than 4 hours,60–75%,3,No
3/2/2026 20:13:25,16,Grade 12,6–8 hours,1–3 hours,None,Often,20–50,6–7 hours,3,3,4,2,3,3,2,1,70–80%,Less than 1 hour,75–90%,2,Yes
3/2/2026 20:13:32,18,Grade 12,4–6 hours,1–3 hours,Less than 1 hour,Sometimes,20–50,6–7 hours,2,1,4,4,3,5,3,2,80–90%,2–4 hours,75–90%,4,Yes
3/2/2026 20:14:20,16,Grade 11,Less than 2 hours,Less than 1 hour,None,Sometimes,Less than 20,7–8 hours,1,1,5,3,5,5,4,1,Above 90%,2–4 hours,Above 90%,4,Yes
3/2/2026 20:20:30,14,Grade 10,Less than 2 hours,1–3 hours,Less than 1 hour,Never,Less than 20,7–8 hours,3,5,1,5,2,3,4,1,Above 90%,Less than 1 hour,75–90%,4,Not sure
3/2/2026 20:23:52,14,Grade 10,Less than 2 hours,1–3 hours,Less than 1 hour,Never,Less than 20,7–8 hours,3,4,1,5,2,3,2,1,Above 90%,Less than 1 hour,Above 90%,5,Not sure
3/2/2026 20:57:34,16,Grade 11,4–6 hours,1–3 hours,Less than 1 hour,Sometimes,Less than 20,5–6 hours,3,1,1,1,1,3,1,1,80–90%,1–2 hours,Above 90%,1,No
3/2/2026 21:03:56,14,Grade 10,2–4 hours,1–3 hours,None,Sometimes,Less than 20,5–6 hours,1,1,1,3,4,4,3,1,Less than 60%,2–4 hours,75–90%,3,Yes
3/2/2026 21:12:04,14,Grade 10,Less than 2 hours,1–3 hours,None,Sometimes,Less than 20,7–8 hours,3,3,4,5,5,5,5,5,70–80%,Less than 1 hour,75–90%,5,Yes
